index_code,asset_code,effective_from,effective_to,announce_date,source,source_ref
000905,000852,2010-01-04,2010-01-05,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2010-01-04
000905,000852,2010-01-05,2010-02-22,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2010-01-05
000905,000852,2010-02-01,2010-02-22,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2010-02-01
000905,000852,2010-02-22,2010-07-05,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2010-02-22
000905,000852,2010-07-05,2011-01-10,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2010-07-05
000905,000852,2011-01-10,2011-02-21,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2011-01-10
000905,000852,2011-02-21,2011-07-04,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2011-02-21
000905,000852,2011-07-04,2011-08-29,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2011-07-04
000905,000852,2011-08-29,2012-01-09,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2011-08-29
000905,000852,2012-01-09,2012-03-05,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2012-01-09
000905,000852,2012-03-05,2012-03-26,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2012-03-05
000905,000852,2012-03-26,2012-07-02,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2012-03-26
000905,000852,2012-07-02,2013-01-07,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2012-07-02
000905,000852,2013-01-07,2013-05-02,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2013-01-07
000905,000852,2013-05-02,2013-07-01,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2013-05-02
000905,000852,2013-07-01,2013-12-16,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2013-07-01
000905,000852,2013-12-16,2014-06-16,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2013-12-16
000905,000852,2014-06-16,2014-12-15,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2014-06-16
000905,000852,2014-12-15,2015-06-15,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2014-12-15
000905,000852,2015-06-15,2015-12-14,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2015-06-15
000905,000852,2015-12-14,2016-06-13,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2015-12-14
000905,000905,2007-01-15,2007-07-02,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2007-01-15
000905,000905,2007-07-02,2008-01-07,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2007-07-02
000905,000905,2008-01-07,2008-07-07,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2008-01-07
000905,000905,2008-07-07,2009-01-05,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2008-07-07
000905,000905,2009-01-05,2009-05-11,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2009-01-05
000905,000905,2009-05-11,2009-06-08,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2009-05-11
000905,000905,2009-06-05,2009-07-06,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2009-06-05
000905,000905,2009-06-08,2009-07-06,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2009-06-08
000905,000905,2009-07-06,2009-08-06,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2009-07-06
000905,000905,2009-08-06,2009-08-31,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2009-08-06
000905,000905,2009-08-31,2009-09-14,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2009-08-31
000905,000905,2009-09-14,2009-11-26,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2009-09-14
000905,000905,2009-11-19,2009-11-26,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2009-11-19
000905,000905,2009-11-26,2010-01-04,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2009-11-26
000905,000905,2010-01-04,2010-01-05,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2010-01-04
000905,000905,2010-01-05,2010-02-22,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2010-01-05
000905,000905,2010-02-01,2010-02-22,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2010-02-01
000905,000905,2010-02-22,2010-07-05,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2010-02-22
000905,000905,2010-07-05,2011-01-10,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2010-07-05
000905,000905,2011-01-10,2011-02-21,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2011-01-10
000905,000905,2011-02-21,2011-07-04,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2011-02-21
000905,000905,2011-07-04,2011-08-29,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2011-07-04
000905,000905,2011-08-29,2012-01-09,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2011-08-29
000905,000905,2012-01-09,2012-03-05,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2012-01-09
000905,000905,2012-03-05,2012-03-26,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2012-03-05
000905,000905,2012-03-26,2012-07-02,,baostock_zz500_snapshot_unverified,baostock://query_zz500_stocks?date=2012-03-26
